source;text;person;sentiment
twitter;"Calon wakil presiden nomor urut 1 Muhaimin Iskandar alias Cak Imin menilai jika pemerintah lambat dalam memberikan izin, kebijakan dan terlalu berlebelit-belit dalam proses investasi.

???Muhaimin: “Harus kita slepet supaya lebih cepat lagi menyediakan sarana dan prasarana percepatan izin.”

#TempoHeadliner #cakimin";anies-cak imin;neutral
twitter;"Setelah mantan Ketua KPK Agus Rahardjo mengungkap pernah dimarahi Presiden Jokowi gara-gara kasus Setya Novanto, kini mantan Menteri ESDM Sudirman Said juga memberikan pengakuan yang sama.  
Juru bicara Anies Baswedan itu mengaku pernah dimarahi Jokowi saat melaporkan kasus Setya Novanto ke Mahkamah Kehormatan Dewan (MKD). (ld)";anies-cak imin;negative
twitter;"""Ada BPJS untuk hewan peliharaan kaya kucing, ga Pak?,"" pertanyaan tersebut didapat oleh Anies Baswedan, calon presiden nomor urut 1 saat sedang menghadiri acara DESAK ANIES pada Kamis (7/12/2023) di Lampung. Menurut Anies, ia tidak yakin bahwa BPJS untuk hewan peliharaan benar-benar diperlukan. Namun, ia setuju bahwa diperlukan rumah sakit hewan untuk hewan-hewan peliharaan masyarakat Indonesia.";anies-cak imin;positive
twitter;"Wakil Presiden RI ke-10 dan ke-12, Jusuf Kalla menegaskan sikap politiknya mendukung pasangan calon presiden dan wakil presiden Anies-Muhaimin di Pilpres 2024.

??Jusuf Kalla: ""Jadi hari ini, di Makassar ini, saya menyampaikan sikap (dukung AMIN). Mudah-mudahan ada manfaatnya untuk anda semua.""

#TempoHeadliner #JusufKalla";anies-cak imin;positive
twitter;Setiap pelanggaran hukum tidak boleh dibiarkan tak dihukum, karena apabila dibiarkan dia akan menular dan dianggap sesuatu yang benar -Anies Baswedan #JawaPosKawalPemilu2024 #DebatCapres;anies-cak imin;neutral
twitter;Damai itu bukan tidak ada kekerasan, tapi damai itu adalah adanya keadilan - Anies Baswedan #JawaPosKawalPemilu2024 #DebatCapres;anies-cak imin;neutral
twitter;Negara ini adalah negara hukum bukan negara kekuasaan. negara hukum diatur oleh hukum, dan negara kekuasaan diatur oleh penguasa - Anies Baswedan #JawaPosKawalPemilu2024 #DebatCapres;anies-cak imin;positive
twitter;Wakanda no more, Indonesia forever - Anies Baswedan #JawaPosKawPemilu2024 #DebatCapres;anies-cak imin;neutral
twitter;Dulu yang naik kendaraan umum hanya 350 ribu per hari, sekarang 1 juta per hari. Jadi itu kita kerjakan, untuk menangani soal polusi di Jakarta - Anies Baswedan #JawaPosKawalPemilu2024 #DebatCapres;anies-cak imin;neutral
twitter;Kalau hari ini kita belum bisa menyiapkan pupuk lengkap, tetapi pada saat yang sama kita menyiapkan istana untuk presiden, dimana rasa keadilan kita - Anies Baswedan #JawaPosKawalPemilu2024 #DebatCapres;anies-cak imin;neutral
